hub,perturb_fraction,delta_hub_pagerank,delta_global_pagerank_l1
LF8,0.1,-0.0027398995259314066,0.008599084385929953
LF5,0.1,-0.0029963639188266347,0.008958409501455225
LF6,0.1,-0.002944918386505714,0.00909146950311228
LF7,0.1,-0.002953877692076931,0.009610362459619756
rna_module_004,0.1,-0.002796478297948199,0.006989976888457778
rna_module_007,0.1,-0.002328263573825942,0.0059847804250232756
LF4,0.1,-0.0026411881280527932,0.007676479338124204
LF2,0.1,-0.0028705911660992997,0.007555494645574915
rna_module_005,0.1,-0.0025174195346091,0.0065677623179807125
LF3,0.1,-0.0016027408950787213,0.005306995428474063
LF8,0.25,-0.0071992232381850735,0.022635641065077566
LF5,0.25,-0.007715388435469796,0.02307891840427473
LF6,0.25,-0.007608059716355926,0.023493351587814404
LF7,0.25,-0.007700426921709205,0.025028092106255208
rna_module_004,0.25,-0.007154472331334587,0.017891008363607977
rna_module_007,0.25,-0.005929789609901093,0.015249793277028023
LF4,0.25,-0.00679982371194094,0.01978715206072642
LF2,0.25,-0.007465566167189873,0.019618243451263288
rna_module_005,0.25,-0.006422225249722514,0.016754140530098768
LF3,0.25,-0.004113325771247522,0.013625410264226505
LF8,0.5,-0.015751610919370218,0.049735454510427636
LF5,0.5,-0.016265474124380928,0.04870315658591231
LF6,0.5,-0.01613103224172606,0.04983648123396734
LF7,0.5,-0.016619756364641074,0.05390938020478888
rna_module_004,0.5,-0.01489277211141676,0.037267902828302876
rna_module_007,0.5,-0.012242885615042932,0.031508554657671356
LF4,0.5,-0.014329625168611273,0.04180878348197568
LF2,0.5,-0.016024018216160996,0.041976234884755895
rna_module_005,0.5,-0.013298715399674855,0.03467736687059614
LF3,0.5,-0.008629389704260474,0.02860802606797748
LF8,0.75,-0.026154011682745296,0.08310832709668849
LF5,0.75,-0.025860765080036065,0.07752994129918954
LF6,0.75,-0.0258026712742782,0.0797650581914163
LF7,0.75,-0.027193313149662068,0.08798059142410992
rna_module_004,0.75,-0.023297599171780994,0.05838103712737887
rna_module_007,0.75,-0.018978216802758095,0.04890705576866044
LF4,0.75,-0.02277189382206695,0.06670373287076857
LF2,0.75,-0.02598825176784704,0.06779083303673589
rna_module_005,0.75,-0.020679317818845123,0.053923584521471904
LF3,0.75,-0.013674847039839982,0.04538372515773214
LF8,0.9,-0.03362122415085512,0.1074866933250919
LF5,0.9,-0.03224944543789299,0.09676986944108323
LF6,0.9,-0.032304024890745554,0.09990621220203363
LF7,0.9,-0.03463511541089826,0.11182207875109296
rna_module_004,0.9,-0.028703007428229718,0.07201104830251015
rna_module_007,0.9,-0.023240851664899632,0.059948843364270685
LF4,0.9,-0.028393921962535117,0.08344346031023711
LF2,0.9,-0.032828099537844005,0.08535310499839847
rna_module_005,0.9,-0.02537444785213824,0.06616483861776891
LF3,0.9,-0.01704466243263951,0.05661509475152952
