node,degree,betweenness,pagerank,rank_score
LF8,7,0.25397452788757136,0.05487847895862505,0.9822695035460992
LF5,8,0.23744177454322382,0.047088151453039816,0.975177304964539
LF6,8,0.18387864148733712,0.05218193471470772,0.9680851063829787
LF7,7,0.21913552362827726,0.04668328111544734,0.9468085106382979
rna_module_004,6,0.11152874500700591,0.03566566407258219,0.875886524822695
rna_module_007,6,0.1483713254003109,0.02937299084340454,0.8475177304964538
LF4,6,0.067193118207611,0.03562512298670313,0.8262411347517732
LF2,6,0.0518430683648075,0.0410229239208005,0.8120567375886525
rna_module_005,5,0.08792239161804379,0.03181598952736918,0.8014184397163121
LF3,5,0.10735373054213634,0.03133842077281145,0.8014184397163121
LF9,5,0.0806634321127075,0.03226173230896712,0.7872340425531915
rna_module_006,5,0.1224197461153983,0.028163721277558295,0.7872340425531915
rna_module_010,4,0.13160218471812676,0.02931282610580239,0.7730496453900709
rna_module_003,5,0.05092519396867222,0.03310142726421077,0.7446808510638298
LF10,4,0.05228761040355242,0.027744230175767746,0.6808510638297872
rna_module_027,3,0.0821256038647343,0.027079595513130578,0.6773049645390071
rna_module_001,4,0.008119497249932031,0.031208834103276097,0.6453900709219859
rna_module_025,3,0.06660859805787342,0.02068841419800605,0.6276595744680852
rna_module_011,3,0.05269018689308544,0.019373317526765382,0.6063829787234042
rna_module_008,3,0.051296679702476804,0.02020667197441964,0.5921985815602837
rna_module_012,2,0.08707461084272679,0.016955334991756082,0.5851063829787234
protein_module_011,3,0.03584917497960976,0.016087882383334844,0.5567375886524822
rna_module_002,3,0.0,0.024000566441495445,0.4822695035460993
rna_module_016,2,0.017207269381182423,0.013388764478070546,0.46453900709219864
protein_module_004,2,0.01590543112282243,0.01346908541328068,0.4645390070921986
protein_module_007,2,0.00837474120082816,0.01348599930719847,0.4574468085106383
rna_module_019,2,0.004750402576489533,0.014151214474378282,0.450354609929078
rna_module_009,2,0.007439613526570048,0.013502155658775376,0.450354609929078
rna_module_024,2,0.009098228663446053,0.012963006818148881,0.4432624113475177
protein_module_008,2,0.0024745034889962427,0.011251247444325964,0.40070921985815605
rna_module_040,1,0.0,0.02127659574468085,0.3333333333333333
LF1,1,0.0,0.02127659574468085,0.3333333333333333
rna_module_014,1,0.0,0.010983774107304615,0.23758865248226949
rna_module_036,1,0.0,0.010804497660264959,0.2304964539007092
rna_module_026,1,0.0,0.010582842367586085,0.22340425531914895
protein_module_016,1,0.0,0.009311966537845573,0.2163120567375886
rna_module_013,1,0.0,0.009202348902804861,0.20921985815602837
rna_module_023,1,0.0,0.009017967413535388,0.20212765957446807
protein_module_001,1,0.0,0.008988444698432779,0.19503546099290778
protein_module_012,1,0.0,0.008873714349346147,0.1879432624113475
rna_module_017,1,0.0,0.008792787870803662,0.18085106382978722
comp2,1,0.0,0.008107494677865599,0.17375886524822692
protein_module_014,1,0.0,0.00803672902674207,0.16666666666666666
protein_module_013,1,0.0,0.007973246675751857,0.15957446808510636
protein_module_009,1,0.0,0.00790897196006206,0.15248226950354607
rna_module_015,1,0.0,0.007666629482543395,0.1453900709219858
protein_module_010,1,0.0,0.0071264065555895935,0.1382978723404255
