hub,perturb_type,perturb_fraction,delta_hub_pagerank,delta_global_pagerank_l1,delta_global_boot_mean,delta_global_ci_low,delta_global_ci_high,delta_hub_boot_mean,delta_hub_ci_low,delta_hub_ci_high,rank_boot_mean,rank_ci_low,rank_ci_high,top5_freq
LF7,edge_weight_dampening,0.5,-0.016619756364641074,0.05390938020478888,0.040808440013003884,0.01909578213963697,0.0631908343941748,-0.012702510852791962,-0.01995286890934441,-0.005827012520819802,6.4675,1.0,17.0,0.53
LF6,edge_weight_dampening,0.5,-0.01613103224172606,0.04983648123396734,0.04282086107667158,0.022083095410746906,0.0642576134090177,-0.013620871754102737,-0.021461078939324602,-0.006850872655907413,5.51,1.0,16.025000000000006,0.61
LF8,edge_weight_dampening,0.5,-0.015751610919370218,0.049735454510427636,0.037782738035159684,0.0,0.05876806137874493,-0.012159669339395864,-0.019352813024131398,0.0,7.3475,1.0,19.5,0.45
LF5,edge_weight_dampening,0.5,-0.016265474124380928,0.04870315658591231,0.04548593189426024,0.02635462558257324,0.06431444890973007,-0.014766133079773395,-0.02158076318911695,-0.008392436323970676,4.37,1.0,14.0,0.72
LF2,edge_weight_dampening,0.5,-0.016024018216160996,0.041976234884755895,0.03798855959451858,0.016677419655698914,0.05662901606792018,-0.013365565565712875,-0.020027229236533432,-0.006258525755671591,7.32,1.0,17.0,0.425
LF4,edge_weight_dampening,0.5,-0.014329625168611273,0.04180878348197568,0.03925921379850768,0.020193814571841794,0.05689185138710567,-0.013031015842851658,-0.01915610115211219,-0.006145046443189014,6.87,1.0,17.0,0.475
rna_module_004,edge_weight_dampening,0.5,-0.01489277211141676,0.037267902828302876,0.03784386481915106,0.017712253749531354,0.05521402264187054,-0.014163999804478371,-0.02156371442431898,-0.0057203271663401065,7.4625,1.0,17.025000000000006,0.41
LF10,edge_weight_dampening,0.5,-0.010627372604757435,0.036094903067050106,0.028196163016163584,0.0,0.04777275204226972,-0.008575411889822327,-0.014591119814901736,0.0,11.855,2.0,20.0,0.135
rna_module_003,edge_weight_dampening,0.5,-0.013745937708782803,0.03608185663587178,0.03554003250186118,0.014831948167726015,0.05368651585960024,-0.012739158461744055,-0.019822452832217795,-0.0044123473057081945,8.255,1.9750000000000005,19.012500000000003,0.315
rna_module_005,edge_weight_dampening,0.5,-0.013298715399674855,0.03467736687059614,0.0342138667791016,0.013177919729182093,0.04984132322923981,-0.012487458765468187,-0.01986669240119664,-0.004233125228658016,9.1375,1.0,19.0,0.255
rna_module_006,edge_weight_dampening,0.5,-0.011675712028320955,0.034597627969621715,0.032125902854321146,0.011155311183858476,0.04964308972406388,-0.010897542395190226,-0.01723923964057901,-0.0033070048274476153,10.165,2.0,19.0,0.235
LF9,edge_weight_dampening,0.5,-0.010189643467853358,0.03332334643260623,0.026390603026022634,0.0,0.042807034484177,-0.008139208148557325,-0.014109918385121436,0.0,12.7625,4.0,20.0,0.06
rna_module_007,edge_weight_dampening,0.5,-0.012242885615042932,0.031508554657671356,0.032408878371615886,0.013215807784319954,0.05008745702762295,-0.011892338725608465,-0.018268484364714767,-0.004640569499158795,9.995,2.0,18.0,0.175
rna_module_001,edge_weight_dampening,0.5,-0.01213482184010813,0.03034381004852905,0.0309919283339331,0.012528056151138228,0.04890410147229914,-0.011148389322841581,-0.017214243660164483,-0.0038921010037820595,10.635,2.0,19.0,0.14
rna_module_010,edge_weight_dampening,0.5,-0.011774622792909618,0.02968788260522744,0.028344191315333403,0.010164541943568556,0.04169452470678845,-0.010918462349648307,-0.016302085206361876,-0.0034186973644358422,12.21,5.0,20.0,0.04
LF3,edge_weight_dampening,0.5,-0.008629389704260474,0.02860802606797748,0.02556394394273177,0.0,0.04113164411032906,-0.007862817955226347,-0.012898724466272929,0.0,13.24,5.9750000000000005,19.512500000000003,0.025
rna_module_008,edge_weight_dampening,0.5,-0.007918614467088244,0.024730138943420896,0.02224776226750693,0.0,0.036388827482166985,-0.007479818479394908,-0.012173616880240556,0.0,14.85,7.9750000000000005,20.0,0.0
rna_module_011,edge_weight_dampening,0.5,-0.007582225950750268,0.020037553465435717,0.019371535465931938,0.0,0.03128581292794548,-0.007121525463113667,-0.01159334448139004,0.0,16.25,10.0,20.0,0.0
rna_module_025,edge_weight_dampening,0.5,-0.006076917543508923,0.01939515911285105,0.01664162718946318,0.0,0.029197057890918657,-0.005619996049994025,-0.009982265521491469,0.0,17.1,11.0,20.0,0.0
rna_module_027,edge_weight_dampening,0.5,-0.00501466719069198,0.015581999696128387,0.01170538972756102,0.0,0.02361466126129143,-0.00394852502481783,-0.007725239433793625,0.0,18.1975,14.0,20.0,0.0
